Vehicle Type,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
LDVs,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,9280,
HDVs,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,42801,
aircraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rail,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,74446.08758,
ships,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,1049.350881,
motorbikes,3748.208524,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,3748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correction _ New calcualtion based on BCDTRTSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
LDVs,6876,6823,6777,6733,6695,6656,6621,6588,6554,6522,6491,6461,6434,6411,6388,6367,6348,6331,6315,6299,6284,6269,6254,6238,6222,6206,6189,6173,6158,6142,6127,6111,6096,6081,6066,
HDVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
aircraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ships,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,10980.27371,
motorbikes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
